arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
5000,0,36,50,False,0,5,8,8,M4_entangled,False,12,R2_pca8,35.73,5,0.5694950564971751,0.5610041088854648,0.24606785751409238,0.4324,0.02950772012817801,0.6853914646759651,53,53,2000,38,32,0.5999113219054956,0.5728444401643554,0.24165404642171484,0.421,0.03459535109976349,0.6762322654344305
5000,0,36,50,False,12,5,8,8,M5_frozen,True,12,R2_pca8,27.51,5,0.5303686761684643,0.5252375449409348,0.2494857808578663,0.464,0.02800604256985293,0.6921936757704195,53,41,2000,38,32,0.5629213212634823,0.5380071905495634,0.2453534623574785,0.4515,0.020476591601942793,0.6836926663411766
5001,0,36,50,False,0,5,8,0,M3_product,False,12,R2_pca8,36.27,0,0.5670554057524396,0.5442571905495635,0.24721988181636562,0.4498,0.03610572381319725,0.6878298307273288,53,53,2000,4,0,0.5869707402413971,0.5590572033898304,0.24371265860711744,0.4355,0.02380602645075277,0.6805680541309387
5001,0,36,31,False,0,5,8,4,M4_entangled,False,12,R2_pca8,25.21,1,0.5908399139702105,0.5634180790960452,0.24280234108755372,0.4294,0.0042341990151180285,0.6786256537452846,53,53,2000,18,12,0.6002082530816641,0.5668496404725218,0.24132561644483258,0.4265,0.00793554026846233,0.6755143984788641
5001,0,36,50,False,12,5,8,4,M5_frozen,True,12,R2_pca8,33.63,1,0.563697033898305,0.5475186183872625,0.24586207104808,0.4418,0.0038623189990001456,0.6848158029216447,53,41,2000,18,12,0.5861601983821263,0.5455026964560863,0.24347495718458817,0.444,0.026109349032205867,0.679915392237667
5002,0,36,50,False,0,5,8,0,M3_product,False,12,R2_pca8,36.11,0,0.5614552837699025,0.5468894453004622,0.2464659101316056,0.4446,0.02386426764152436,0.6861088123267024,53,53,2000,4,0,0.5843655704288649,0.560902991782229,0.24329891447374294,0.431,0.013197479914219499,0.679550559716503
5002,0,36,50,False,0,5,8,4,M4_entangled,False,12,R2_pca8,36.37,2,0.571341968412943,0.5536947868515665,0.24591495165481306,0.44,0.029841749666340275,0.685074276287496,53,53,2000,20,14,0.5949648096430405,0.5729246918335902,0.24187206875123077,0.4205,0.016059963048604308,0.6766100715946514
5002,0,36,50,False,12,5,8,4,M5_frozen,True,12,R2_pca8,29.27,2,0.5593865562403698,0.5442957113507961,0.24717127445264714,0.449,0.02841980255364149,0.687596009961646,53,41,2000,20,14,0.5910806288520801,0.5753482922444787,0.2422925504697763,0.418,0.01924692540733129,0.6774637587159654
5003,0,36,50,False,0,5,8,0,M3_product,False,12,R2_pca8,30.1,0,0.5598810670261942,0.5428864920390344,0.24637370037410386,0.447,0.0151315613231906,0.6858767918426534,53,53,2000,4,0,0.5802336126091423,0.5543705059065228,0.24341643814712458,0.436,0.01249165001581979,0.6797412544590163
5003,0,36,50,False,0,5,8,4,M4_entangled,False,12,R2_pca8,28.66,1,0.5680824666153056,0.5519292501284027,0.24541190760413237,0.4384,0.012320305955879553,0.6839312287389907,53,53,2000,17,12,0.5893542148176681,0.5724592321520288,0.24267743530968847,0.4185,0.015294357224487732,0.6783003001859513
5003,0,36,50,False,12,5,8,4,M5_frozen,True,12,R2_pca8,24.0,1,0.5667085580380071,0.5540061633281972,0.24548034314905823,0.4354,0.012368923550722027,0.6840423367598075,53,41,2000,17,12,0.5941271828454032,0.5676842578325629,0.2415818295236363,0.422,0.01204350107478916,0.6759316207324826
5004,0,36,50,False,0,5,8,0,M3_product,False,12,R2_pca8,26.64,0,0.5487694209039548,0.5436697483307653,0.2479099628279409,0.4466,0.01836045201125627,0.6890820001379268,53,53,2000,4,0,0.5849865177195686,0.5583590138674884,0.24329243894136307,0.4325,0.0069049160578257135,0.6796024294540253
