block,model,representation,test_auroc,test_logloss,train_size
4,M0_class_prior,R2_pca8,0.5,0.691578359988849,2000
0,M1_logreg,R2_pca8,0.5158692860811505,0.6931988145220849,2000
1,M1_logreg,R2_pca8,0.5253917886492039,0.6913369107364504,2000
2,M1_logreg,R2_pca8,0.5292353620955317,0.6908843142233047,2000
3,M1_logreg,R2_pca8,0.5121651900359527,0.6926424101780772,2000
4,M1_logreg,R2_pca8,0.5247001797637391,0.6908751370743412,2000
0,M2_mlp,R2_pca8,0.5538161273754494,0.6884354514593755,2000
1,M2_mlp,R2_pca8,0.5409909476117103,0.6890531879534617,2000
2,M2_mlp,R2_pca8,0.5590860939907549,0.6871477269326848,2000
3,M2_mlp,R2_pca8,0.5223751284026708,0.6916253618746085,2000
4,M2_mlp,R2_pca8,0.543418721109399,0.6893467076056666,2000
0,M3_product,R2_pca8,0.5614552837699025,0.6861088123267024,2000
1,M3_product,R2_pca8,0.5623966358500256,0.6864763898544672,2000
2,M3_product,R2_pca8,0.5503848870056498,0.6891878051489381,2000
3,M3_product,R2_pca8,0.5483853364149974,0.6900729668505032,2000
4,M3_product,R2_pca8,0.5375942154596816,0.6894244211434729,2000
0,M4_entangled,R2_pca8,0.571341968412943,0.6839312287389907,2000
1,M4_entangled,R2_pca8,0.5689578518233178,0.684878121780466,2000
2,M4_entangled,R2_pca8,0.5581734720082178,0.6867147137336127,2000
3,M4_entangled,R2_pca8,0.5445542822290703,0.6886367192487204,2000
4,M4_entangled,R2_pca8,0.5627043207498716,0.6857615436811142,2000
0,M5_frozen,R2_pca8,0.563697033898305,0.6848158029216447,2000
1,M5_frozen,R2_pca8,0.5677535952747816,0.6847078167102485,2000
2,M5_frozen,R2_pca8,0.5562538520801232,0.687428458130893,2000
3,M5_frozen,R2_pca8,0.5465104969183359,0.6882111619527822,2000
4,M5_frozen,R2_pca8,0.5597581214689267,0.6864678125028382,2000
0,M0_class_prior,R2_pca8,0.5,0.691578359988849,5000
1,M0_class_prior,R2_pca8,0.5,0.691578359988849,5000
2,M0_class_prior,R2_pca8,0.5,0.691578359988849,5000
3,M0_class_prior,R2_pca8,0.5,0.691578359988849,5000
4,M0_class_prior,R2_pca8,0.5,0.691578359988849,5000
0,M1_logreg,R2_pca8,0.530908448895737,0.690819911877817,5000
1,M1_logreg,R2_pca8,0.5311837121212122,0.6900562298860806,5000
