split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,0a800014d40b,angle,4,8,20,4,88,12,5,105,0.0359205635100807,1.4616
0,0ace4c49ce0d,angle,4,10,19,7,88,12,5,105,0.025982625360522912,0.8831
0,0c31e9be9350,angle,4,12,24,8,88,12,5,105,0.028737300907672722,0.993
0,0d0fbe56dd45,angle,4,15,24,12,88,12,5,105,0.02554869909840362,1.2048
0,0d27dae718dc,angle,4,7,19,3,88,12,5,105,0.017256089364912547,0.838
0,0e56b2abc334,angle,4,13,22,10,88,12,5,105,0.030503525672597332,0.907
0,0e648ca7be69,angle,4,15,27,11,88,12,5,105,0.03668837411995904,1.1472
0,0edee90dea52,angle,4,5,20,0,88,12,5,105,0.031738186462844174,1.0231
0,0f69573f48b4,angle,4,11,23,7,88,12,5,105,0.023003260561415943,0.9359
0,0fab89b9ba2c,angle,4,8,20,4,88,12,5,105,0.033100404852425706,0.9006
0,106feecd14a4,angle,4,7,16,4,88,12,5,105,0.02095049319115921,0.8754
0,112756abbc7a,angle,4,7,16,4,88,12,5,105,0.017296235728794185,0.7914
0,112756abbc7a,angle,4,7,16,4,88,12,5,105,0.016806179106272873,0.771
0,1144c44c4e76,angle,4,11,23,7,88,12,5,105,0.030495137157520353,0.9956
0,119ab852ae4c,angle,4,4,16,0,88,12,5,105,0.031001898023459002,0.8047
0,119ab852ae4c,angle,4,4,16,0,88,12,5,105,0.030194150544017733,0.7281
0,119ab852ae4c,angle,4,4,16,0,88,12,5,105,0.035883324573124646,0.9966
0,11f6f2515a34,angle,4,7,16,4,88,12,5,105,0.03574805762195133,0.9419
0,13a182f8b672,angle,4,10,19,7,88,12,5,105,0.01974568405732407,0.8703
0,13b3a2e1d851,angle,4,9,19,7,88,12,5,105,0.02104723505139423,0.8883
0,13d5740c1f2c,angle,4,9,19,7,88,12,5,105,0.025441711005670064,0.8489
0,13e3290c60c3,angle,4,8,20,4,88,12,5,105,0.020196868083977835,0.9431
0,13ed09554e60,angle,4,16,25,17,88,12,5,105,0.02039527879593602,1.2154
0,147ebde5b677,angle,4,15,25,13,88,12,5,105,0.036132505375949184,1.0676
0,1533e7d145eb,angle,4,8,20,4,88,12,5,105,0.018938983560050575,0.7798
0,162e5915e828,angle,4,12,27,7,88,12,5,105,0.027902731285411334,1.0732
0,16676d173e8c,angle,4,10,19,7,88,12,5,105,0.036151233814427586,0.9224
0,16bdfe32c132,angle,4,12,27,7,88,12,5,105,0.026183125888161567,1.0255
0,16c4ff224e0a,angle,4,8,23,3,88,12,5,105,0.039732541682583285,0.8754
0,16f87bc16973,angle,4,11,23,7,88,12,5,105,0.02490519890866906,0.872
0,1827a6c2cf9b,angle,4,21,27,19,88,12,5,105,0.030206855249689284,1.2284
0,184bfc843a77,angle,4,10,19,7,88,12,5,105,0.038222003028491526,0.8754
0,185fb8c393f2,angle,4,16,25,13,88,12,5,105,0.016281655226205876,1.0596
0,18b147bcd7ad,angle,4,14,27,11,88,12,5,105,0.02752526944799911,1.0758
0,18b45a8ac8d8,angle,4,14,23,11,88,12,5,105,0.023751385623118446,0.9734
0,193665688700,angle,4,8,20,4,88,12,5,105,0.018646340895456588,0.7324
0,19437f2039b2,angle,4,12,25,9,88,12,5,105,0.02485811969107741,0.9231
0,19f564e45cac,angle,4,13,19,11,88,12,5,105,0.02522239607909987,0.8788
0,1a1d8a079840,angle,4,13,22,10,88,12,5,105,0.020280776472597357,0.8858
0,1a830e5a4655,angle,4,8,20,4,88,12,5,105,0.03603360616799597,0.7566
0,1ab38328c6e0,angle,4,12,25,9,88,12,5,105,0.021850042064054644,1.2991
0,1adc26b9d705,angle,4,16,26,14,88,12,5,105,0.01826759702314287,0.9997
0,1bbb274e1517,angle,4,10,19,7,88,12,5,105,0.03203723456064607,0.831
0,1bdce3023e4f,angle,4,11,23,7,88,12,5,105,0.02825620195541914,0.8332
0,1c621af8be46,angle,4,11,26,6,88,12,5,105,0.01884136318896341,1.0825
0,1da0eec7a24c,angle,4,13,23,11,88,12,5,105,0.03264039343394687,0.948
0,1dd81c4f6c38,angle,4,10,19,7,88,12,5,105,0.021959884350121327,0.8484
0,1ed24d8e20d9,angle,4,9,24,4,88,12,5,105,0.03132851542285528,1.0865
0,1fcd0d0909d3,angle,4,9,19,7,88,12,5,105,0.023669388316894076,0.9173
0,1fd0ce4ce998,angle,4,11,23,7,88,12,5,105,0.02584909497944547,1.0024
0,1fd167cfe543,angle,4,8,20,4,88,12,5,105,0.040916318064029386,0.9953
0,2039b6043638,angle,4,11,20,8,88,12,5,105,0.03563148251359343,0.9182
0,2088c4f0d60c,angle,4,4,16,0,88,12,5,105,0.04157055835193438,0.7064
0,21265dc60d6e,angle,4,10,22,6,88,12,5,105,0.022995144149596383,1.0382
0,2138a8de9aee,angle,4,19,25,17,88,12,5,105,0.029767058758320718,1.0183
0,22d92a4329d5,angle,4,7,19,3,88,12,5,105,0.014534833211569871,0.8033
0,22d92a4329d5,angle,4,7,19,3,88,12,5,105,0.02546816156113608,0.9077
0,2325f02d575f,angle,4,8,20,4,88,12,5,105,0.027782977203857837,0.9072
0,2383ba94659e,angle,4,18,27,15,88,12,5,105,0.020066621018879075,1.2621
0,23879c0a4276,angle,4,12,22,10,88,12,5,105,0.022091469730446494,0.9212
0,23ed26018251,angle,4,14,27,11,88,12,5,105,0.025207744834063815,1.0638
0,243cc3fe6863,angle,4,12,22,10,88,12,5,105,0.015895414018454603,0.959
0,24c4c8767a2b,angle,4,11,25,9,88,12,5,105,0.025952326656920963,1.0164
0,25e6099d1a62,angle,4,14,26,10,88,12,5,105,0.019871052845761954,1.009
0,2809196352c7,angle,4,11,27,7,88,12,5,105,0.017404619375126947,0.962
0,28255a3d80bb,angle,4,12,26,10,88,12,5,105,0.03160154454205368,0.9574
